id,pro_address,name
2675,"Building A/238 Lytton Road, Morningside",CushWakeQLD
2676,"464 Cavendish Road, Coorparoo",TimAltass
2677,"7/6 Parkhurst Avenue, Herston",TimAltass
2678,"2/14 Redfern Street, Morningside",TimAltass
2679,"70 Windemere Street, Morningside",TimAltass
2680,"93 Kingsbury Street, Norman Park",TimAltass
2681,"2/329 Melton Road, Northgate",TimAltass
2682,"36 Greenhalgh Street, Tarragindi",TimAltass
2683,"29 Amelia Street, Fortitude Valley",Admin
2684,"50 Southgate Avenue, Cannon Hill",Admin
2685,"2 Naunton Rd, Burpengary East",Commercialguys
2686,"46 Moncrief Road, Cannon Hill",TimAltass
2687,"66 Hertford Street, Upper Mount Gravatt",TimAltass
2688,"4/31 Wynnum Road, Norman Park",TimAltass
2689,"5/8 Overend Street, Norman Park",TimAltass
2690,"260 Stanley Road, Carina",TimAltass
2691,"Job Id. 2299	- 4/15 Industry Dr, Caboolture",Commercialguys
2692,"1/54 Shetland Street, Morningside",TimAltass
2693,"6/52 Riddell Street, Bulimba",TimAltass
2694,"9/176 Baroona Road, Paddington",TimAltass
2695,"5/36 Galway Street, Greenslopes",TimAltass
2696,"28/45 Moray Street, New Farm",TimAltass
2697,"337 Logan Road, Stones Corner",SavillsQLD
2698,"1/16 Ormuz Street, Carina Heights",TimAltass
2699,"1/26 Malcolm Street, Hawthorne",TimAltass
2700,"10-12 Cerium St, Narangba",Commercialguys
2701,6/12-16 Robart Court Narangba,Commercialguys
2702,"4/29 Brown Street, Camp Hill",TimAltass
2703,"3/28 Redcliffe Gardens Dr, Clontarf",Commercialguys
2704,"2/8 Oxley St, North Lakes",Commercialguys
2705,"28 Old Cleveland Road, Greenslopes",CushWakeQLD
2706,"126 Morayfield Rd, Morayfield",Commercialguys
2707,"Job Id 798	:    23-25 Skyreach St, Caboolture",Commercialguys
2708,"39 Lear Jet Dr, Caboolture",Commercialguys
2709,"61 Lear Jet Dr, Caboolture",Commercialguys
2710,13-15 Ellerslie Road Meadowbrook,Rhcommercialsouthside
2711,"48 Verbena Street, Mount Gravatt",TimAltass
2712,"485 Zillmere Rd, Zillmere",Duganandco
2713,"928 Wynnum Road, TIngalpa",Duganandco
2714,48 Bullockhead St Sumner,Rhcommercialsouthside
2715,391 Newman Rd Geebung,Admin
2716,"2/55 Bridgewater Street, Morningside",TimAltass
2717,"35 Robinson Road, Virginia",Duganandco
2718,5/131 Balham Road Archerfield,Rhcommercialsouthside
2719,"175 Wacol Station Road, Wacol",CushWakeQLD
2720,15 Wynnum Road Norman Park,Rhcommercialsouthside
2721,"7/505 Lytton Road, Morningside",Buecommercial
2722,15 Wynnum Road Norman Park,Rhcommercialsouthside
2723,"97 Waminda Street, Morningside",TimAltass
2724,"2/73 Forbes Street, Hawthorne",TimAltass
2725,"64 Lever Street, Albion",CushWakeQLD
2726,"3, 210 West Avenue, Wynnum",Duganandco
2727,"16 Fairlie Court, Kallangur",NVRE
2728,"17 Bailey Court, Brendale",Duganandco
2729,"32 Morrisby Street, Geebung",Duganandco
2730,"260 Rode Rd, Wavell Heights",Duganandco
2731,"22-26 Cessna Dr, Caboolture",Commercialguys
2732,"35 Robinson Road, Virginia",Duganandco
2733,1/3333 Pacific Highway Slacks Creek,Rhcommercialsouthside
2734,131 George Street Beenleigh,Rhcommercialsouthside
2735,"22/23 Ashtan Place, Banyo",Duganandco
2736,"10/14 Ashtan Place, Banyo",Duganandco
2737,"17 Moonbi Street, Brendale",Duganandco
2738,"25 Deakin Street, Brendale",CushWakeQLD
2739,"9 Maurice Avenue, Salisbury",TimAltass
2740,"1351 – 1353 Lyttton Road, Hemmant",CushWakeQLD
2741,"1351 – 1353 Lyttton Road, Hemmant",CushWakeQLD